User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,BSW,-0.01545130,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,CTSI,-0.00378183,""
172503166,2022-04-18 05:03:09,Spot,Small assets exchange BNB,SHIB,-8.23000000,""
172503166,2022-04-18 05:06:15,USDT-Futures,Fee,BNB,-0.00010989,""
172503166,2022-04-18 05:06:15,USDT-Futures,Realize profit and loss,USDT,0.04823000,""
172503166,2022-04-18 05:07:13,USDT-Futures,Fee,BNB,-0.00047812,""
172503166,2022-04-18 05:08:18,USDT-Futures,Fee,BNB,-0.00009770,""
172503166,2022-04-18 05:09:34,USDT-Futures,Realize profit and loss,USDT,-0.45731000,""
172503166,2022-04-18 05:09:34,USDT-Futures,Fee,BNB,-0.00009804,""
172503166,2022-04-18 05:21:02,USDT-Futures,Fee,BNB,-0.00016244,""
172503166,2022-04-18 05:21:02,USDT-Futures,Fee,BNB,-0.00000624,""
172503166,2022-04-18 05:21:02,USDT-Futures,Fee,BNB,-0.00010620,""
172503166,2022-04-18 05:21:02,USDT-Futures,Fee,BNB,-0.00002082,""
172503166,2022-04-18 05:21:38,USDT-Futures,Fee,BNB,-0.00013742,""
172503166,2022-04-18 05:21:38,USDT-Futures,Realize profit and loss,USDT,0.04924478,""
172503166,2022-04-18 05:21:38,USDT-Futures,Realize profit and loss,USDT,0.04738521,""
172503166,2022-04-18 05:21:38,USDT-Futures,Fee,BNB,-0.00015824,""
172503166,2022-04-18 05:22:47,USDT-Futures,Fee,BNB,-0.00027275,""
172503166,2022-04-18 05:22:47,USDT-Futures,Fee,BNB,-0.00001249,""
172503166,2022-04-18 05:23:02,USDT-Futures,Fee,BNB,-0.00015403,""
172503166,2022-04-18 05:23:02,USDT-Futures,Fee,BNB,-0.00013114,""
172503166,2022-04-18 05:23:02,USDT-Futures,Realize profit and loss,USDT,-0.00364204,""
172503166,2022-04-18 05:23:02,USDT-Futures,Realize profit and loss,USDT,0.00016204,""
172503166,2022-04-18 05:26:07,USDT-Futures,Fee,BNB,-0.00013105,""
172503166,2022-04-18 05:26:59,USDT-Futures,Fee,BNB,-0.00013096,""
172503166,2022-04-18 05:26:59,USDT-Futures,Realize profit and loss,USDT,0.09891000,""
172503166,2022-04-18 05:34:31,USDT-Futures,Fee,BNB,-0.00010784,""
172503166,2022-04-18 05:34:31,USDT-Futures,Fee,BNB,-0.00000622,""
172503166,2022-04-18 05:38:32,USDT-Futures,Fee,BNB,-0.00011396,""
172503166,2022-04-18 05:38:32,USDT-Futures,Realize profit and loss,USDT,0.06348999,""
